subgroup,measure_1,measure_2,measure_3,measure_4
1,501.574,500.399,501.185,499.003
2,500.849,500.819,500.053,501.947
3,500.714,500.821,501.374,501.207
4,501.257,498.264,498.699,499.115
5,498.506,500.249,500.429,500.373
6,498.598,499.070,498.631,499.657
7,498.872,499.924,499.330,500.730
8,500.125,499.827,499.414,500.144
9,499.153,500.624,501.571,501.051
10,501.063,500.602,500.204,499.674
11,500.773,499.969,498.298,500.846
12,502.030,498.668,499.753,499.668
13,500.598,499.565,500.116,501.668
14,499.538,497.656,500.095,498.719
15,500.914,501.476,498.937,499.134
16,500.784,499.200,500.365,500.690
17,499.960,501.207,499.463,500.259
18,500.427,501.128,500.187,499.122
19,499.282,499.674,501.268,499.654
20,500.930,500.015,500.509,501.757
21,500.281,500.653,500.125,500.839
22,501.278,500.983,500.078,499.924
23,500.900,499.699,499.049,499.971
24,501.559,499.975,500.291,499.565
25,498.643,500.012,499.743,500.042
